Ensayo Hilos Speedup Eficiencia
1 1 1.000000000000000 1.000000000000000
2 2 1.333333333333333 0.666666666666667
3 4 2.260869565217391 0.565217391304348
4 8 2.888888888888889 0.361111111111111
5 16 2.363636363636364 0.147727272727273
6 32 2.476190476190476 0.077380952380952
7 64 2.476190476190476 0.038690476190476
8 128 2.260869565217391 0.017663043478261
9 256 1.677419354838710 0.006552419354839
10 512 1.925925925925926 0.003761574074074
